location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
2161296,"Đào Duy Từ","co",2504.4,"µg/m³","2024-09-12T16:00:00Z","2024-09-12T23:00:00+07:00","Asia/Bangkok",21.0354,105.8529,,,,"Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
2161296,"Đào Duy Từ","co",1977.6,"µg/m³","2024-09-12T17:00:00Z","2024-09-13T00:00:00+07:00","Asia/Bangkok",21.0354,105.8529,,,,"Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
2161296,"Đào Duy Từ","co",1887.5,"µg/m³","2024-09-12T18:00:00Z","2024-09-13T01:00:00+07:00","Asia/Bangkok",21.0354,105.8529,,,,"Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
2161296,"Đào Duy Từ","co",915.3,"µg/m³","2024-09-12T19:00:00Z","2024-09-13T02:00:00+07:00","Asia/Bangkok",21.0354,105.8529,,,,"Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
2161296,"Đào Duy Từ","co",925.2,"µg/m³","2024-09-12T20:00:00Z","2024-09-13T03:00:00+07:00","Asia/Bangkok",21.0354,105.8529,,,,"Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
2161296,"Đào Duy Từ","co",622.1,"µg/m³","2024-09-12T21:00:00Z","2024-09-13T04:00:00+07:00","Asia/Bangkok",21.0354,105.8529,,,,"Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
2161296,"Đào Duy Từ","co",1178.6,"µg/m³","2024-09-12T22:00:00Z","2024-09-13T05:00:00+07:00","Asia/Bangkok",21.0354,105.8529,,,,"Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
2161296,"Đào Duy Từ","co",739.9,"µg/m³","2024-09-12T23:00:00Z","2024-09-13T06:00:00+07:00","Asia/Bangkok",21.0354,105.8529,,,,"Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
2161296,"Đào Duy Từ","co",966.8,"µg/m³","2024-09-13T00:00:00Z","2024-09-13T07:00:00+07:00","Asia/Bangkok",21.0354,105.8529,,,,"Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
2161296,"Đào Duy Từ","co",1411.8,"µg/m³","2024-09-13T01:00:00Z","2024-09-13T08:00:00+07:00","Asia/Bangkok",21.0354,105.8529,,,,"Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
